Source,Date,Hour,Count
P1 Apple Watch,2022-01-01,07,32
P1 Apple Watch,2022-01-01,07,49
P1 Apple Watch,2022-01-01,07,14
P1 Apple Watch,2022-01-01,07,20
P1 Apple Watch,2022-01-01,07,16
P1 Apple Watch,2022-01-01,07,12
P1 Apple Watch,2022-01-01,07,8
P1 iPhone SE,2022-01-01,10,41
P1 Apple Watch,2022-01-01,08,75
P1 Apple Watch,2022-01-01,08,76
P1 Apple Watch,2022-01-01,08,82
P1 Apple Watch,2022-01-01,10,17
P1 Apple Watch,2022-01-01,11,29
P1 Apple Watch,2022-01-01,11,7
P1 Apple Watch,2022-01-01,11,35
P1 Apple Watch,2022-01-01,11,35
P1 Apple Watch,2022-01-01,11,61
P1 Apple Watch,2022-01-01,11,17
P1 Apple Watch,2022-01-01,11,31
P1 Apple Watch,2022-01-01,11,4
P1 Apple Watch,2022-01-01,11,23
P1 Apple Watch,2022-01-01,11,63
P1 Apple Watch,2022-01-01,11,11
P1 Apple Watch,2022-01-01,11,25
P1 Apple Watch,2022-01-01,11,6
P1 Apple Watch,2022-01-01,11,90
P1 Apple Watch,2022-01-01,12,2
P1 Apple Watch,2022-01-01,12,9
P1 Apple Watch,2022-01-01,12,29
P1 Apple Watch,2022-01-01,13,3
P1 Apple Watch,2022-01-01,13,20
P1 Apple Watch,2022-01-01,13,1
P1 Apple Watch,2022-01-01,13,8
P1 Apple Watch,2022-01-01,14,1
P1 Apple Watch,2022-01-01,14,27
P1 Apple Watch,2022-01-01,15,25
P1 Apple Watch,2022-01-01,15,12
P1 Apple Watch,2022-01-01,16,364
P1 Apple Watch,2022-01-01,16,30
P1 iPhone SE,2022-01-01,16,142
P1 iPhone SE,2022-01-01,16,1098
P1 iPhone SE,2022-01-01,16,868
P1 Apple Watch,2022-01-01,16,1075
P1 Apple Watch,2022-01-01,16,82
P1 Apple Watch,2022-01-01,16,54
P1 Apple Watch,2022-01-01,16,46
P1 iPhone SE,2022-01-01,16,1123
P1 iPhone SE,2022-01-01,17,1137
P1 iPhone SE,2022-01-01,17,1082
P1 Apple Watch,2022-01-01,16,977
P1 Apple Watch,2022-01-01,17,113
P1 Apple Watch,2022-01-01,17,109
P1 Apple Watch,2022-01-01,17,111
P1 Apple Watch,2022-01-01,17,119
P1 Apple Watch,2022-01-01,17,118
P1 Apple Watch,2022-01-01,17,111
P1 Apple Watch,2022-01-01,17,111
P1 Apple Watch,2022-01-01,17,15
P1 Apple Watch,2022-01-01,17,1084
P1 Apple Watch,2022-01-01,17,56
P1 Apple Watch,2022-01-01,17,947
P1 Apple Watch,2022-01-01,17,118
P1 Apple Watch,2022-01-01,17,14
P1 iPhone SE,2022-01-01,17,1017
P1 iPhone SE,2022-01-01,17,1124
P1 iPhone SE,2022-01-01,17,853
P1 iPhone SE,2022-01-01,17,167
P1 Apple Watch,2022-01-01,17,1106
P1 Apple Watch,2022-01-01,17,116
P1 Apple Watch,2022-01-01,17,118
P1 Apple Watch,2022-01-01,17,111
P1 Apple Watch,2022-01-01,17,115
P1 Apple Watch,2022-01-01,17,117
P1 Apple Watch,2022-01-01,17,106
P1 Apple Watch,2022-01-01,17,113
P1 Apple Watch,2022-01-01,17,785
P1 Apple Watch,2022-01-01,17,116
P1 Apple Watch,2022-01-01,17,118
P1 Apple Watch,2022-01-01,17,109
P1 Apple Watch,2022-01-01,17,34
P1 iPhone SE,2022-01-01,17,1148
P1 Apple Watch,2022-01-01,17,1098
P1 Apple Watch,2022-01-01,18,65
P1 Apple Watch,2022-01-01,18,185
P1 Apple Watch,2022-01-01,18,2
P1 Apple Watch,2022-01-01,18,5
P1 Apple Watch,2022-01-01,18,2
P1 Apple Watch,2022-01-01,18,63
P1 Apple Watch,2022-01-01,18,6
P1 Apple Watch,2022-01-01,18,11
P1 Apple Watch,2022-01-01,18,35
P1 Apple Watch,2022-01-01,18,4
P1 Apple Watch,2022-01-01,19,18
P1 Apple Watch,2022-01-01,19,43
P1 Apple Watch,2022-01-01,19,2
P1 Apple Watch,2022-01-01,19,42
P1 Apple Watch,2022-01-01,19,19
P1 iPhone SE,2022-01-01,18,610
P1 iPhone SE,2022-01-01,18,42
P1 Apple Watch,2022-01-01,19,14
P1 Apple Watch,2022-01-01,19,8
P1 Apple Watch,2022-01-01,20,22
P1 Apple Watch,2022-01-01,20,52
P1 Apple Watch,2022-01-01,20,42
P1 Apple Watch,2022-01-01,20,4
P1 Apple Watch,2022-01-01,20,16
P1 iPhone SE,2022-01-01,20,8
P1 Apple Watch,2022-01-01,22,2
P1 Apple Watch,2022-01-01,22,31
P1 iPhone SE,2022-01-01,22,77
