Source,Date,Hour,Count
P2 Phone,2022-01-01,05,31
P2’s Apple Watch,2021-12-31,21,20
P2’s Apple Watch,2021-12-31,21,16
P2’s Apple Watch,2022-01-01,05,29
P2’s Apple Watch,2022-01-01,05,13
P2 Phone,2022-01-01,05,103
P2 Phone,2022-01-01,06,553
P2’s Apple Watch,2022-01-01,05,19
P2’s Apple Watch,2022-01-01,05,11
P2’s Apple Watch,2022-01-01,05,1
P2’s Apple Watch,2022-01-01,05,9
P2’s Apple Watch,2022-01-01,05,30
P2’s Apple Watch,2022-01-01,05,24
P2’s Apple Watch,2022-01-01,06,15
P2’s Apple Watch,2022-01-01,06,11
P2’s Apple Watch,2022-01-01,06,575
P2’s Apple Watch,2022-01-01,06,15
P2’s Apple Watch,2022-01-01,06,21
P2 Phone,2022-01-01,06,27
P2’s Apple Watch,2022-01-01,06,60
P2’s Apple Watch,2022-01-01,06,8
P2’s Apple Watch,2022-01-01,06,12
P2’s Apple Watch,2022-01-01,06,20
P2’s Apple Watch,2022-01-01,06,2
P2’s Apple Watch,2022-01-01,06,18
P2’s Apple Watch,2022-01-01,07,13
P2’s Apple Watch,2022-01-01,07,14
P2’s Apple Watch,2022-01-01,08,26
P2 Phone,2022-01-01,10,62
P2’s Apple Watch,2022-01-01,10,3
P2’s Apple Watch,2022-01-01,10,30
P2’s Apple Watch,2022-01-01,10,17
P2 Phone,2022-01-01,11,16
P2’s Apple Watch,2022-01-01,10,10
P2’s Apple Watch,2022-01-01,11,2
P2 Phone,2022-01-01,11,421
P2 Phone,2022-01-01,11,163
P2 Phone,2022-01-01,12,73
P2’s Apple Watch,2022-01-01,11,27
P2’s Apple Watch,2022-01-01,11,33
P2’s Apple Watch,2022-01-01,11,26
P2’s Apple Watch,2022-01-01,11,12
P2’s Apple Watch,2022-01-01,11,552
P2’s Apple Watch,2022-01-01,11,26
P2’s Apple Watch,2022-01-01,11,16
P2’s Apple Watch,2022-01-01,12,6
P2’s Apple Watch,2022-01-01,12,88
P2 Phone,2022-01-01,13,47
P2 Phone,2022-01-01,15,51
P2’s Apple Watch,2022-01-01,13,26
P2’s Apple Watch,2022-01-01,15,17
P2’s Apple Watch,2022-01-01,15,16
P2’s Apple Watch,2022-01-01,15,27
P2’s Apple Watch,2022-01-01,15,6
P2 Phone,2022-01-01,16,374
P2 Phone,2022-01-01,16,945
P2 Phone,2022-01-01,16,594
P2’s Apple Watch,2022-01-01,16,20
P2’s Apple Watch,2022-01-01,16,562
P2’s Apple Watch,2022-01-01,16,902
P2 Phone,2022-01-01,16,1014
P2 Phone,2022-01-01,17,1031
P2 Phone,2022-01-01,17,973
P2’s Apple Watch,2022-01-01,16,856
P2’s Apple Watch,2022-01-01,16,1016
P2 Phone,2022-01-01,17,903
P2’s Apple Watch,2022-01-01,17,989
P2 Phone,2022-01-01,17,997
P2 Phone,2022-01-01,17,742
P2 Phone,2022-01-01,17,119
P2’s Apple Watch,2022-01-01,17,861
P2’s Apple Watch,2022-01-01,17,978
P2 Phone,2022-01-01,17,1043
P2’s Apple Watch,2022-01-01,17,971
P2 Phone,2022-01-01,18,577
P2’s Apple Watch,2022-01-01,17,768
P2’s Apple Watch,2022-01-01,17,1027
P2’s Apple Watch,2022-01-01,18,369
P2’s Apple Watch,2022-01-01,18,4
P2’s Apple Watch,2022-01-01,18,8
P2 Phone,2022-01-01,18,59
P2’s Apple Watch,2022-01-01,18,20
P2 Phone,2022-01-01,18,8
P2’s Apple Watch,2022-01-01,18,26
P2’s Apple Watch,2022-01-01,18,9
P2 Phone,2022-01-01,18,10
