Start,Finish,Steps (count)
31/12/2021 23:00,01/01/2022 0:00,0
01/01/2022 0:00,01/01/2022 1:00,14
01/01/2022 1:00,01/01/2022 2:00,0
01/01/2022 2:00,01/01/2022 3:00,0
01/01/2022 3:00,01/01/2022 4:00,0
01/01/2022 4:00,01/01/2022 5:00,0
01/01/2022 5:00,01/01/2022 6:00,0
01/01/2022 6:00,01/01/2022 7:00,0
01/01/2022 7:00,01/01/2022 8:00,0
01/01/2022 8:00,01/01/2022 9:00,49
01/01/2022 9:00,01/01/2022 10:00,0
01/01/2022 10:00,01/01/2022 11:00,11
01/01/2022 11:00,01/01/2022 12:00,20
01/01/2022 12:00,01/01/2022 13:00,0
01/01/2022 13:00,01/01/2022 14:00,0
01/01/2022 14:00,01/01/2022 15:00,9.900304641
01/01/2022 15:00,01/01/2022 16:00,254.7983813
01/01/2022 16:00,01/01/2022 17:00,48.30131404
01/01/2022 17:00,01/01/2022 18:00,0
01/01/2022 18:00,01/01/2022 19:00,995
01/01/2022 19:00,01/01/2022 20:00,212
01/01/2022 20:00,01/01/2022 21:00,0
01/01/2022 21:00,01/01/2022 22:00,0
01/01/2022 22:00,01/01/2022 23:00,0
01/01/2022 23:00,02/01/2022 0:00,0
02/01/2022 0:00,02/01/2022 1:00,0
02/01/2022 1:00,02/01/2022 2:00,16
02/01/2022 2:00,02/01/2022 3:00,0
02/01/2022 3:00,02/01/2022 4:00,0
02/01/2022 4:00,02/01/2022 5:00,0
02/01/2022 5:00,02/01/2022 6:00,0
02/01/2022 6:00,02/01/2022 7:00,0
02/01/2022 7:00,02/01/2022 8:00,8
02/01/2022 8:00,02/01/2022 9:00,22
02/01/2022 9:00,02/01/2022 10:00,259
02/01/2022 10:00,02/01/2022 11:00,232.1140034
02/01/2022 11:00,02/01/2022 12:00,172.8859966
02/01/2022 12:00,02/01/2022 13:00,678
02/01/2022 13:00,02/01/2022 14:00,966
02/01/2022 14:00,02/01/2022 15:00,0
02/01/2022 15:00,02/01/2022 16:00,0
02/01/2022 16:00,02/01/2022 17:00,0
02/01/2022 17:00,02/01/2022 18:00,11
02/01/2022 18:00,02/01/2022 19:00,8
02/01/2022 19:00,02/01/2022 20:00,1941.634572
02/01/2022 20:00,02/01/2022 21:00,1507.365428
02/01/2022 21:00,02/01/2022 22:00,0
02/01/2022 22:00,02/01/2022 23:00,0
02/01/2022 23:00,03/01/2022 0:00,0
03/01/2022 0:00,03/01/2022 1:00,0
03/01/2022 1:00,03/01/2022 2:00,0
03/01/2022 2:00,03/01/2022 3:00,0
03/01/2022 3:00,03/01/2022 4:00,27
03/01/2022 4:00,03/01/2022 5:00,0
03/01/2022 5:00,03/01/2022 6:00,0
03/01/2022 6:00,03/01/2022 7:00,0
03/01/2022 7:00,03/01/2022 8:00,0
03/01/2022 8:00,03/01/2022 9:00,0
03/01/2022 9:00,03/01/2022 10:00,0
03/01/2022 10:00,03/01/2022 11:00,1396
03/01/2022 11:00,03/01/2022 12:00,496
03/01/2022 12:00,03/01/2022 13:00,0
03/01/2022 13:00,03/01/2022 14:00,0
03/01/2022 14:00,03/01/2022 15:00,0
03/01/2022 15:00,03/01/2022 16:00,0
03/01/2022 16:00,03/01/2022 17:00,0
03/01/2022 17:00,03/01/2022 18:00,0
03/01/2022 18:00,03/01/2022 19:00,16
03/01/2022 19:00,03/01/2022 20:00,24
03/01/2022 20:00,03/01/2022 21:00,0
03/01/2022 21:00,03/01/2022 22:00,0
03/01/2022 22:00,03/01/2022 23:00,0
03/01/2022 23:00,04/01/2022 0:00,0
04/01/2022 0:00,04/01/2022 1:00,11
04/01/2022 1:00,04/01/2022 2:00,0
04/01/2022 2:00,04/01/2022 3:00,0
04/01/2022 3:00,04/01/2022 4:00,0
04/01/2022 4:00,04/01/2022 5:00,0
04/01/2022 5:00,04/01/2022 6:00,0
04/01/2022 6:00,04/01/2022 7:00,0
04/01/2022 7:00,04/01/2022 8:00,0
04/01/2022 8:00,04/01/2022 9:00,0
04/01/2022 9:00,04/01/2022 10:00,0
04/01/2022 10:00,04/01/2022 11:00,13
04/01/2022 11:00,04/01/2022 12:00,11
04/01/2022 12:00,04/01/2022 13:00,0
04/01/2022 13:00,04/01/2022 14:00,0
04/01/2022 14:00,04/01/2022 15:00,0
04/01/2022 15:00,04/01/2022 16:00,0
04/01/2022 16:00,04/01/2022 17:00,0
04/01/2022 17:00,04/01/2022 18:00,0
04/01/2022 18:00,04/01/2022 19:00,0
04/01/2022 19:00,04/01/2022 20:00,0
04/01/2022 20:00,04/01/2022 21:00,0
04/01/2022 21:00,04/01/2022 22:00,0
04/01/2022 22:00,04/01/2022 23:00,26
04/01/2022 23:00,05/01/2022 0:00,0
05/01/2022 0:00,05/01/2022 1:00,0
05/01/2022 1:00,05/01/2022 2:00,0
05/01/2022 2:00,05/01/2022 3:00,0
05/01/2022 3:00,05/01/2022 4:00,0
05/01/2022 4:00,05/01/2022 5:00,0
05/01/2022 5:00,05/01/2022 6:00,0
05/01/2022 6:00,05/01/2022 7:00,0
05/01/2022 7:00,05/01/2022 8:00,0
05/01/2022 8:00,05/01/2022 9:00,0
05/01/2022 9:00,05/01/2022 10:00,0
05/01/2022 10:00,05/01/2022 11:00,0
05/01/2022 11:00,05/01/2022 12:00,0
05/01/2022 12:00,05/01/2022 13:00,0
05/01/2022 13:00,05/01/2022 14:00,60
05/01/2022 14:00,05/01/2022 15:00,0
05/01/2022 15:00,05/01/2022 16:00,0
05/01/2022 16:00,05/01/2022 17:00,16
05/01/2022 17:00,05/01/2022 18:00,0
05/01/2022 18:00,05/01/2022 19:00,0
05/01/2022 19:00,05/01/2022 20:00,0
05/01/2022 20:00,05/01/2022 21:00,139
05/01/2022 21:00,05/01/2022 22:00,0
05/01/2022 22:00,05/01/2022 23:00,0
05/01/2022 23:00,06/01/2022 0:00,21
06/01/2022 0:00,06/01/2022 1:00,0
06/01/2022 1:00,06/01/2022 2:00,0
06/01/2022 2:00,06/01/2022 3:00,8
06/01/2022 3:00,06/01/2022 4:00,0
06/01/2022 4:00,06/01/2022 5:00,0
06/01/2022 5:00,06/01/2022 6:00,0
06/01/2022 6:00,06/01/2022 7:00,0
06/01/2022 7:00,06/01/2022 8:00,0
06/01/2022 8:00,06/01/2022 9:00,0
06/01/2022 9:00,06/01/2022 10:00,8
06/01/2022 10:00,06/01/2022 11:00,0
06/01/2022 11:00,06/01/2022 12:00,0
06/01/2022 12:00,06/01/2022 13:00,0
06/01/2022 13:00,06/01/2022 14:00,0
06/01/2022 14:00,06/01/2022 15:00,0
06/01/2022 15:00,06/01/2022 16:00,0
06/01/2022 16:00,06/01/2022 17:00,0
06/01/2022 17:00,06/01/2022 18:00,0
06/01/2022 18:00,06/01/2022 19:00,14.48612338
06/01/2022 19:00,06/01/2022 20:00,639.5138766
06/01/2022 20:00,06/01/2022 21:00,0
06/01/2022 21:00,06/01/2022 22:00,0
06/01/2022 22:00,06/01/2022 23:00,0
06/01/2022 23:00,07/01/2022 0:00,0
07/01/2022 0:00,07/01/2022 1:00,0
07/01/2022 1:00,07/01/2022 2:00,22
07/01/2022 2:00,07/01/2022 3:00,0
07/01/2022 3:00,07/01/2022 4:00,0
07/01/2022 4:00,07/01/2022 5:00,0
07/01/2022 5:00,07/01/2022 6:00,0
07/01/2022 6:00,07/01/2022 7:00,0
07/01/2022 7:00,07/01/2022 8:00,0
07/01/2022 8:00,07/01/2022 9:00,0
07/01/2022 9:00,07/01/2022 10:00,13
07/01/2022 10:00,07/01/2022 11:00,0
07/01/2022 11:00,07/01/2022 12:00,0
07/01/2022 12:00,07/01/2022 13:00,0
07/01/2022 13:00,07/01/2022 14:00,0
07/01/2022 14:00,07/01/2022 15:00,0
07/01/2022 15:00,07/01/2022 16:00,0
07/01/2022 16:00,07/01/2022 17:00,679.6132117
07/01/2022 17:00,07/01/2022 18:00,1007.386788
07/01/2022 18:00,07/01/2022 19:00,279
07/01/2022 19:00,07/01/2022 20:00,0
07/01/2022 20:00,07/01/2022 21:00,457.1266556
07/01/2022 21:00,07/01/2022 22:00,351.8733444
07/01/2022 22:00,07/01/2022 23:00,0
07/01/2022 23:00,08/01/2022 0:00,0
08/01/2022 0:00,08/01/2022 1:00,0
08/01/2022 1:00,08/01/2022 2:00,0
08/01/2022 2:00,08/01/2022 3:00,0
08/01/2022 3:00,08/01/2022 4:00,0
08/01/2022 4:00,08/01/2022 5:00,0
08/01/2022 5:00,08/01/2022 6:00,0
08/01/2022 6:00,08/01/2022 7:00,0
08/01/2022 7:00,08/01/2022 8:00,0
08/01/2022 8:00,08/01/2022 9:00,2
08/01/2022 9:00,08/01/2022 10:00,0
08/01/2022 10:00,08/01/2022 11:00,0
08/01/2022 11:00,08/01/2022 12:00,0
08/01/2022 12:00,08/01/2022 13:00,0
08/01/2022 13:00,08/01/2022 14:00,0
08/01/2022 14:00,08/01/2022 15:00,0
08/01/2022 15:00,08/01/2022 16:00,0
08/01/2022 16:00,08/01/2022 17:00,0
08/01/2022 17:00,08/01/2022 18:00,0
08/01/2022 18:00,08/01/2022 19:00,27
08/01/2022 19:00,08/01/2022 20:00,0
08/01/2022 20:00,08/01/2022 21:00,0
08/01/2022 21:00,08/01/2022 22:00,0
08/01/2022 22:00,08/01/2022 23:00,16
08/01/2022 23:00,09/01/2022 0:00,0
09/01/2022 0:00,09/01/2022 1:00,0
09/01/2022 1:00,09/01/2022 2:00,0
09/01/2022 2:00,09/01/2022 3:00,0
09/01/2022 3:00,09/01/2022 4:00,0
09/01/2022 4:00,09/01/2022 5:00,0
09/01/2022 5:00,09/01/2022 6:00,0
09/01/2022 6:00,09/01/2022 7:00,0
09/01/2022 7:00,09/01/2022 8:00,0
09/01/2022 8:00,09/01/2022 9:00,0
09/01/2022 9:00,09/01/2022 10:00,0
09/01/2022 10:00,09/01/2022 11:00,0
09/01/2022 11:00,09/01/2022 12:00,0
09/01/2022 12:00,09/01/2022 13:00,0
09/01/2022 13:00,09/01/2022 14:00,1972
09/01/2022 14:00,09/01/2022 15:00,9
09/01/2022 15:00,09/01/2022 16:00,0
09/01/2022 16:00,09/01/2022 17:00,0
09/01/2022 17:00,09/01/2022 18:00,0
09/01/2022 18:00,09/01/2022 19:00,0
09/01/2022 19:00,09/01/2022 20:00,683
09/01/2022 20:00,09/01/2022 21:00,0
09/01/2022 21:00,09/01/2022 22:00,0
09/01/2022 22:00,09/01/2022 23:00,20
09/01/2022 23:00,10/01/2022 0:00,0
10/01/2022 0:00,10/01/2022 1:00,0
10/01/2022 1:00,10/01/2022 2:00,0
10/01/2022 2:00,10/01/2022 3:00,0
10/01/2022 3:00,10/01/2022 4:00,0
10/01/2022 4:00,10/01/2022 5:00,0
10/01/2022 5:00,10/01/2022 6:00,0
10/01/2022 6:00,10/01/2022 7:00,0
